sentence,relation,entities,sentence_no_tags
The current view is that the chronic <e1>inflammation</e1> in the distal part of the stomach caused by Helicobacter pylori <e2>infection</e2> results in an increased acid production from the non-infected upper corpus region of the stomach.,1,"['inflammation', 'infection']",The current view is that the chronic inflammation in the distal part of the stomach caused by Helicobacter pylori infection results in an increased acid production from the non-infected upper corpus region of the stomach.
The <e1>burst</e1> has been caused by water hammer <e2>pressure</e2>.,1,"['burst', 'pressure']",The burst has been caused by water hammer pressure.
"The <e1>singer</e1>, who performed three of the nominated songs, also caused a <e2>commotion</e2> on the red carpet.",0,"['singer', 'commotion']","The singer, who performed three of the nominated songs, also caused a commotion on the red carpet."
"<e1>Suicide</e1> is one of the leading causes of <e2>death</e2> among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide.",0,"['Suicide', 'death']","Suicide is one of the leading causes of death among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide."
He had chest pains and <e1>headaches</e1> from <e2>mold</e2> in the bedrooms.,1,"['headaches', 'mold']",He had chest pains and headaches from mold in the bedrooms.
Financial <e1>stress</e1> is one of the main causes of <e2>divorce</e2>.,0,"['stress', 'divorce']",Financial stress is one of the main causes of divorce.
The <e1>women</e1> that caused the <e2>accident</e2> was on the cell phone and ran thru the intersection without pausing on the median.,0,"['women', 'accident']",The women that caused the accident was on the cell phone and ran thru the intersection without pausing on the median.
<e1>Calluses</e1> are caused by improperly fitting shoes or by a <e2>skin abnormality</e2>.,1,"['Calluses', 'skin abnormality']",Calluses are caused by improperly fitting shoes or by a skin abnormality.
"As in the popular movie ""Deep Impact"", the action of the Perseid <e1>meteor shower</e1> is caused by a <e2>comet</e2>, in this case periodic comet Swift-Tuttle.",1,"['meteor shower', 'comet']","As in the popular movie ""Deep Impact"", the action of the Perseid meteor shower is caused by a comet, in this case periodic comet Swift-Tuttle."
The <e1>radiation</e1> from the atomic <e2>bomb explosion</e2> is a typical acute radiation.,1,"['radiation', 'bomb explosion']",The radiation from the atomic bomb explosion is a typical acute radiation.
A neoplastic <e1>recurrence</e1> arose from an extensive <e2>radiation</e2> induced ulceration.,1,"['recurrence', 'radiation']",A neoplastic recurrence arose from an extensive radiation induced ulceration.
He has a tattoo on his right arm and <e1>scars</e1> from <e2>stitches</e2> on his right elbow.,1,"['scars', 'stitches']",He has a tattoo on his right arm and scars from stitches on his right elbow.
The continuing Nigerian <e1>outbreak</e1> is the biggest ever caused by the <e2>vaccine</e2>.,1,"['outbreak', 'vaccine']",The continuing Nigerian outbreak is the biggest ever caused by the vaccine.
The <e1>fire</e1> inside WTC was caused by exploding <e2>fuel</e2>.,1,"['fire', 'fuel']",The fire inside WTC was caused by exploding fuel.
The <e1>suffering</e1> caused by the <e2>terrorists</e2> is the real torture.,1,"['suffering', 'terrorists']",The suffering caused by the terrorists is the real torture.
"In a poetic twist, the <e1>tsunami</e1> triggered by the rock <e2>band</e2> forced many American jazz and blues singers to seek work in the United Kingdom, which is where Anderson found a receptive audience in 1965.",1,"['tsunami', 'band']","In a poetic twist, the tsunami triggered by the rock band forced many American jazz and blues singers to seek work in the United Kingdom, which is where Anderson found a receptive audience in 1965."
<e1>Leakage</e1> and fire caused due to <e2>corrosion</e2> of bypass piping for recirculation gas at a fuel oil desulphurization unit.,1,"['Leakage', 'corrosion']",Leakage and fire caused due to corrosion of bypass piping for recirculation gas at a fuel oil desulphurization unit.
The metal <e1>ball</e1> makes a ding ding ding <e2>noise</e2> when it swings back and hits the metal body of the lamp.,0,"['ball', 'noise']",The metal ball makes a ding ding ding noise when it swings back and hits the metal body of the lamp.
Historical view of the <e1>damage</e1> caused by the 1693 Catania <e2>earthquake</e2> and the reconstruction activities.,1,"['damage', 'earthquake']",Historical view of the damage caused by the 1693 Catania earthquake and the reconstruction activities.
"AI requested that the perpetrators be prosecuted to the fullest extent of the law, that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the <e1>suffering</e1> caused by the responsible police <e2>officers</e2>.",1,"['suffering', 'officers']","AI requested that the perpetrators be prosecuted to the fullest extent of the law, that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the suffering caused by the responsible police officers."
The Marshall Plan also provided a way of gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war to end the <e1>recession</e1> triggered by the 1929 Wall Street <e2>crash</e2>.,1,"['recession', 'crash']",The Marshall Plan also provided a way of gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war to end the recession triggered by the 1929 Wall Street crash.
"Once they grow there, the <e1>swelling</e1> and inflammation caused by the <e2>infection</e2> closes off the sac, causing it not to ""shed"" bacteria, and protecting the bacteria inside from antibiotics and your body's own immune cells.",1,"['swelling', 'infection']","Once they grow there, the swelling and inflammation caused by the infection closes off the sac, causing it not to ""shed"" bacteria, and protecting the bacteria inside from antibiotics and your body's own immune cells."
"Guitars are played acoustically; the <e1>tone</e1> is produced by the <e2>vibration</e2> of the strings which is amplified by the body of the guitar, which acts as a large hollow resonating chamber, or they may rely on an amplifier that can electronically manipulate tone.",1,"['tone', 'vibration']","Guitars are played acoustically; the tone is produced by the vibration of the strings which is amplified by the body of the guitar, which acts as a large hollow resonating chamber, or they may rely on an amplifier that can electronically manipulate tone."
"Arcane Subtlety reduced the threat caused by Polymorph by 40% at max rank, though the <e1>threat</e1> caused by the <e2>spell</e2> is minimal.",1,"['threat', 'spell']","Arcane Subtlety reduced the threat caused by Polymorph by 40% at max rank, though the threat caused by the spell is minimal."
"The beautiful hydrothermal features in the park (geysers, hot springs, mud pots, etc.), the uplift and subsidence, and many of the <e1>earthquakes</e1> are caused by the <e2>movements</e2> of hydrothermal and/or magmatic fluids.",1,"['earthquakes', 'movements']","The beautiful hydrothermal features in the park (geysers, hot springs, mud pots, etc.), the uplift and subsidence, and many of the earthquakes are caused by the movements of hydrothermal and/or magmatic fluids."
Forward <e1>motion</e1> of the vehicle through the air caused a <e2>suction</e2> on the road draft tube.,0,"['motion', 'suction']",Forward motion of the vehicle through the air caused a suction on the road draft tube.
"The <e1>malfunctions</e1> on Monday caused <e2>delays</e2> for patrons waiting to check out or renew books at the branches, and impeded access to personal accounts that allow users to renew or hold books online.",0,"['malfunctions', 'delays']","The malfunctions on Monday caused delays for patrons waiting to check out or renew books at the branches, and impeded access to personal accounts that allow users to renew or hold books online."
"Water <e1>damage</e1> from roof leaks, plumbing leaks or flooding lead to the <e2>growth</e2> of molds.",0,"['damage', 'growth']","Water damage from roof leaks, plumbing leaks or flooding lead to the growth of molds."
The <e1>discomfort</e1> from the <e2>injury</e2> was now precluding him from his occupation which involved prolonged procedures in the standing position.,1,"['discomfort', 'injury']",The discomfort from the injury was now precluding him from his occupation which involved prolonged procedures in the standing position.
"The <e1>water</e1> pushed to the coast resulted in <e2>tides</e2> as much as three feet above normal, with waves of 5-10 feet atop these tides.",0,"['water', 'tides']","The water pushed to the coast resulted in tides as much as three feet above normal, with waves of 5-10 feet atop these tides."
"The <e1>charge</e1> is the source of an electric <e2>field</e2>, which carries energy-the electrostatic self-energy.",0,"['charge', 'field']","The charge is the source of an electric field, which carries energy-the electrostatic self-energy."
The <e1>tardiness</e1> however has been caused by the <e2>arrival</e2> of my old man; who in true Bloodworth fashion has had me walking everywhere.,1,"['tardiness', 'arrival']",The tardiness however has been caused by the arrival of my old man; who in true Bloodworth fashion has had me walking everywhere.
